0.98, 0.11, -0.17, 
1.00, 0.07, -0.21, 
0.96, 0.14, -0.22, 
0.99, 0.09, -0.18, 
0.98, 0.10, -0.17, 
0.98, 0.10, -0.18, 
0.99, 0.07, -0.17, 
0.98, 0.07, -0.18, 
1.30, 0.37, -0.28, 
1.02, 0.06, -0.18, 
0.98, 0.09, -0.17, 
0.87, 0.20, -0.13, 
0.98, 0.11, -0.17, 
0.98, 0.11, -0.17, 
0.97, 0.11, -0.17, 
0.98, 0.11, -0.17, 
0.97, 0.12, -0.17, 
0.98, 0.11, -0.17, 
0.97, 0.12, -0.16, 
0.98, 0.12, -0.17, 
0.87, 0.20, -0.39, 
0.96, 0.01, -0.14, 
0.94, -0.23, -0.13, 
0.85, -0.52, -0.21, 
0.33, -0.80, -0.40, 
0.92, -0.89, -0.39, 
0.73, -0.11, -0.31, 
0.70, -0.21, 0.08, 
0.36, -0.43, 0.36, 
-0.36, -0.65, 0.05, 
1.16, -1.02, 0.26, 
0.17, -0.80, -0.62, 
-1.50, -0.47, -1.37, 
-1.62, 0.20, -0.76, 
-0.75, -0.18, -0.53, 
-0.76, -1.31, -0.71, 
0.08, -0.81, 0.07, 
-0.49, -0.30, 0.63, 
0.82, 1.12, -0.01, 
0.35, 0.12, 0.37, 
1.38, 0.02, -0.15, 
1.11, -0.28, -0.44, 
0.72, 0.22, -0.61, 
1.05, 0.03, -0.80, 
0.71, -0.03, -0.60, 
1.26, -0.30, -0.50, 
0.93, -0.27, -0.29, 
0.76, -0.59, -0.38, 
0.72, -0.59, -0.31, 
0.79, -0.78, -0.35, 
-0.47, -0.66, -0.29, 
-0.26, -0.88, -0.79, 
1.70, -1.34, -0.73, 
1.92, -0.65, -1.63, 
1.14, -0.49, -0.20, 
-1.93, -0.57, -0.48, 
-0.85, -0.51, -0.28, 
0.76, -0.70, -0.42, 
0.30, -0.65, -0.37, 
0.80, -0.80, -0.50, 
0.63, -0.73, -0.17, 
0.61, -0.92, -0.27, 
